contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA241122C00050000,NVDA,2024-11-22,50.00,call,96.24,95.47,93.55,1,97.40,1,59,120,2024-11-20,3.51643,1.00000,0.00000,-0.00627,0.00000,0.00274
NVDA241122C00055000,NVDA,2024-11-22,55.00,call,89.40,90.80,88.90,1,92.70,10,9,295,2024-11-20,3.33307,1.00000,0.00000,-0.00690,0.00000,0.00301
NVDA241122C00060000,NVDA,2024-11-22,60.00,call,81.02,85.85,83.90,1,87.80,1,0,12,2024-11-20,3.14971,1.00000,0.00000,-0.00753,0.00000,0.00329
NVDA241122C00065000,NVDA,2024-11-22,65.00,call,77.10,80.92,80.25,5,81.60,5,0,13,2024-11-20,3.74566,0.99888,0.00009,-0.04603,0.00040,0.00355
NVDA241122C00066000,NVDA,2024-11-22,66.00,call,79.64,80.30,78.85,5,81.75,1,20,59,2024-11-20,5.52595,0.98399,0.00067,-0.60530,0.00432,0.00347
NVDA241122C00067000,NVDA,2024-11-22,67.00,call,0.00,78.72,78.20,5,79.25,5,0,3,2024-11-20,2.89301,1.00000,0.00000,-0.00841,0.00000,0.00367
NVDA241122C00068000,NVDA,2024-11-22,68.00,call,77.47,77.75,77.25,5,78.25,5,0,79,2024-11-20,2.85634,1.00000,0.00000,-0.00853,0.00000,0.00373
NVDA241122C00069000,NVDA,2024-11-22,69.00,call,0.00,76.97,76.20,5,77.75,5,0,8,2024-11-20,4.07034,0.99581,0.00028,-0.14422,0.00133,0.00374
NVDA241122C00070000,NVDA,2024-11-22,70.00,call,75.28,76.35,75.05,5,77.65,1,2,130,2024-11-20,5.25766,0.98133,0.00080,-0.65649,0.00493,0.00366
NVDA241122C00071000,NVDA,2024-11-22,71.00,call,0.00,75.42,74.10,5,76.75,1,0,0,2024-11-20,5.29989,0.97895,0.00088,-0.73200,0.00546,0.00369
NVDA241122C00072000,NVDA,2024-11-22,72.00,call,0.00,73.72,73.10,5,74.35,5,0,0,2024-11-20,2.70965,1.00000,0.00000,-0.00903,0.00000,0.00394
NVDA241122C00073000,NVDA,2024-11-22,73.00,call,0.00,72.72,72.10,5,73.35,5,0,5,2024-11-20,2.67298,1.00000,0.00000,-0.00916,0.00000,0.00400
NVDA241122C00074000,NVDA,2024-11-22,74.00,call,74.09,71.65,71.00,5,72.30,5,0,25,2024-11-20,2.63631,1.00000,0.00000,-0.00928,0.00000,0.00405
