contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA240913P00050000,NVDA,2024-09-13,50.00,put,0.01,0.01,0.00,0,0.01,741,21,3941,2024-09-13,5.60994,-0.00096,0.00009,-0.05655,0.00020,-0.00000
NVDA240913P00055000,NVDA,2024-09-13,55.00,put,0.00,0.01,0.00,0,0.01,560,0,8244,2024-09-13,5.02367,-0.00107,0.00011,-0.05604,0.00022,-0.00000
NVDA240913P00057000,NVDA,2024-09-13,57.00,put,0.01,0.01,0.00,0,0.01,501,20,6040,2024-09-13,4.80371,-0.00112,0.00012,-0.05580,0.00023,-0.00000
NVDA240913P00058000,NVDA,2024-09-13,58.00,put,0.00,0.01,0.00,0,0.01,501,0,8174,2024-09-13,4.69670,-0.00114,0.00013,-0.05569,0.00024,-0.00000
NVDA240913P00059000,NVDA,2024-09-13,59.00,put,0.00,0.01,0.00,0,0.01,500,0,6119,2024-09-13,4.59137,-0.00117,0.00014,-0.05557,0.00024,-0.00000
NVDA240913P00060000,NVDA,2024-09-13,60.00,put,0.01,0.01,0.00,0,0.01,605,1,20002,2024-09-13,4.48786,-0.00120,0.00014,-0.05546,0.00025,-0.00000
NVDA240913P00061000,NVDA,2024-09-13,61.00,put,0.00,0.01,0.00,0,0.01,251,0,13501,2024-09-13,4.38588,-0.00122,0.00015,-0.05533,0.00025,-0.00000
NVDA240913P00062000,NVDA,2024-09-13,62.00,put,0.00,0.01,0.00,0,0.01,2826,0,8463,2024-09-13,4.28558,-0.00125,0.00015,-0.05520,0.00026,-0.00000
NVDA240913P00063000,NVDA,2024-09-13,63.00,put,0.00,0.01,0.00,0,0.01,2826,0,4267,2024-09-13,4.18680,-0.00128,0.00016,-0.05507,0.00026,-0.00000
NVDA240913P00064000,NVDA,2024-09-13,64.00,put,0.01,0.01,0.00,0,0.01,3526,200,12900,2024-09-13,4.08955,-0.00131,0.00017,-0.05493,0.00027,-0.00000
NVDA240913P00065000,NVDA,2024-09-13,65.00,put,0.01,0.01,0.00,0,0.01,4925,214,6910,2024-09-13,3.99382,-0.00134,0.00018,-0.05480,0.00027,-0.00000
