contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY240621C00180000,SPY,2024-06-21,180.00,call,367.00,364.86,364.24,50,365.48,50,0,1,2024-06-21,8.63288,0.99627,0.00005,-1.39359,0.00317,0.00487
SPY240621C00185000,SPY,2024-06-21,185.00,call,331.80,359.86,359.24,50,360.48,50,0,0,2024-06-21,8.42725,0.99619,0.00005,-1.38954,0.00323,0.00500
SPY240621C00190000,SPY,2024-06-21,190.00,call,356.42,354.86,354.24,50,355.48,50,0,0,2024-06-21,8.22725,0.99610,0.00005,-1.38536,0.00330,0.00514
SPY240621C00195000,SPY,2024-06-21,195.00,call,346.84,349.86,349.24,50,350.48,50,0,0,2024-06-21,8.03275,0.99601,0.00005,-1.38124,0.00337,0.00527
SPY240621C00200000,SPY,2024-06-21,200.00,call,348.93,344.86,344.24,50,345.48,50,0,3,2024-06-21,7.84327,0.99592,0.00005,-1.37698,0.00344,0.00541
SPY240621C00205000,SPY,2024-06-21,205.00,call,335.49,339.86,339.24,50,340.48,50,0,0,2024-06-21,7.65852,0.99583,0.00006,-1.37254,0.00351,0.00554
SPY240621C00210000,SPY,2024-06-21,210.00,call,334.18,334.86,334.24,50,335.48,50,5,5,2024-06-21,7.47849,0.99573,0.00006,-1.36821,0.00358,0.00568
SPY240621C00215000,SPY,2024-06-21,215.00,call,329.35,329.86,329.24,50,330.48,50,2,2,2024-06-21,7.30258,0.99564,0.00006,-1.36353,0.00365,0.00582
SPY240621C00220000,SPY,2024-06-21,220.00,call,310.24,324.86,324.24,50,325.48,50,0,1,2024-06-21,7.13094,0.99554,0.00006,-1.35895,0.00372,0.00595
SPY240621C00225000,SPY,2024-06-21,225.00,call,317.02,319.86,319.24,50,320.48,50,0,0,2024-06-21,6.96326,0.99544,0.00007,-1.35433,0.00380,0.00609
SPY240621C00230000,SPY,2024-06-21,230.00,call,311.13,314.86,314.24,50,315.48,50,0,0,2024-06-21,6.79924,0.99534,0.00007,-1.34953,0.00387,0.00622
SPY240621C00235000,SPY,2024-06-21,235.00,call,307.77,309.86,309.24,50,310.48,50,0,0,2024-06-21,6.63888,0.99523,0.00007,-1.34476,0.00395,0.00636
SPY240621C00240000,SPY,2024-06-21,240.00,call,309.40,304.86,304.24,50,305.48,50,0,0,2024-06-21,6.48187,0.99513,0.00008,-1.33983,0.00403,0.00649
SPY240621C00245000,SPY,2024-06-21,245.00,call,297.14,299.86,299.24,50,300.48,50,0,0,2024-06-21,6.32806,0.99502,0.00008,-1.33474,0.00411,0.00663
SPY240621C00250000,SPY,2024-06-21,250.00,call,294.86,294.86,294.24,50,295.48,50,12,0,2024-06-21,6.17746,0.99491,0.00008,-1.32969,0.00419,0.00676
SPY240621C00255000,SPY,2024-06-21,255.00,call,292.94,289.86,289.24,50,290.48,50,0,0,2024-06-21,6.02975,0.99480,0.00009,-1.32442,0.00427,0.00690
SPY240621C00260000,SPY,2024-06-21,260.00,call,289.75,284.86,284.24,50,285.48,50,0,0,2024-06-21,5.88509,0.99468,0.00009,-1.31934,0.00436,0.00703
SPY240621C00265000,SPY,2024-06-21,265.00,call,276.77,279.86,279.24,50,280.48,50,0,0,2024-06-21,5.74302,0.99456,0.00010,-1.31395,0.00444,0.00717
SPY240621C00270000,SPY,2024-06-21,270.00,call,271.95,274.86,274.24,50,275.48,50,0,4,2024-06-21,5.60369,0.99444,0.00010,-1.30865,0.00453,0.00730
SPY240621C00275000,SPY,2024-06-21,275.00,call,272.00,269.86,269.24,50,270.48,50,0,0,2024-06-21,5.46680,0.99431,0.00010,-1.30312,0.00462,0.00744
SPY240621C00280000,SPY,2024-06-21,280.00,call,262.25,264.86,264.24,50,265.48,50,0,0,2024-06-21,5.33235,0.99418,0.00011,-1.29753,0.00472,0.00757
SPY240621C00285000,SPY,2024-06-21,285.00,call,258.03,259.86,259.24,50,260.48,50,0,0,2024-06-21,5.20035,0.99405,0.00011,-1.29201,0.00481,0.00771
SPY240621C00290000,SPY,2024-06-21,290.00,call,251.88,254.86,254.24,50,255.48,50,0,4,2024-06-21,5.07047,0.99391,0.00012,-1.28622,0.00491,0.00784
