contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY241209P00420000,SPY,2024-12-09,420.00,put,0.00,0.01,0.00,0,0.01,3757,0,1,2024-12-09,2.16643,-0.00053,0.00003,-0.06477,0.00060,-0.00001
SPY241209P00425000,SPY,2024-12-09,425.00,put,0.00,0.01,0.00,0,0.01,481,0,0,2024-12-09,2.10057,-0.00055,0.00003,-0.06458,0.00062,-0.00001
SPY241209P00430000,SPY,2024-12-09,430.00,put,0.00,0.01,0.00,0,0.01,481,0,0,2024-12-09,2.03533,-0.00057,0.00003,-0.06436,0.00063,-0.00001
SPY241209P00435000,SPY,2024-12-09,435.00,put,0.00,0.01,0.00,0,0.01,481,0,105,2024-12-09,1.97070,-0.00059,0.00003,-0.06412,0.00065,-0.00001
SPY241209P00440000,SPY,2024-12-09,440.00,put,0.00,0.01,0.00,0,0.01,481,0,132,2024-12-09,1.90668,-0.00060,0.00004,-0.06386,0.00067,-0.00001
SPY241209P00445000,SPY,2024-12-09,445.00,put,0.00,0.01,0.00,0,0.01,481,0,0,2024-12-09,1.84326,-0.00062,0.00004,-0.06359,0.00069,-0.00001
SPY241209P00450000,SPY,2024-12-09,450.00,put,0.00,0.01,0.00,0,0.01,481,0,1,2024-12-09,1.78061,-0.00065,0.00004,-0.06336,0.00071,-0.00001
SPY241209P00455000,SPY,2024-12-09,455.00,put,0.00,0.01,0.00,0,0.01,481,0,20,2024-12-09,1.71842,-0.00067,0.00004,-0.06308,0.00073,-0.00001
SPY241209P00460000,SPY,2024-12-09,460.00,put,0.00,0.01,0.00,0,0.01,481,0,60,2024-12-09,1.65683,-0.00069,0.00005,-0.06281,0.00076,-0.00001
SPY241209P00465000,SPY,2024-12-09,465.00,put,0.00,0.01,0.00,0,0.01,481,0,7,2024-12-09,1.59586,-0.00072,0.00005,-0.06256,0.00078,-0.00001
SPY241209P00470000,SPY,2024-12-09,470.00,put,0.00,0.01,0.00,0,0.01,481,0,23,2024-12-09,1.53534,-0.00074,0.00005,-0.06226,0.00081,-0.00001
SPY241209P00475000,SPY,2024-12-09,475.00,put,0.00,0.01,0.00,0,0.01,481,0,297,2024-12-09,1.47528,-0.00077,0.00006,-0.06193,0.00084,-0.00001
SPY241209P00480000,SPY,2024-12-09,480.00,put,0.00,0.01,0.00,0,0.01,481,0,2445,2024-12-09,1.41583,-0.00080,0.00006,-0.06164,0.00087,-0.00001
SPY241209P00485000,SPY,2024-12-09,485.00,put,0.00,0.01,0.00,0,0.01,481,0,1994,2024-12-09,1.35669,-0.00084,0.00007,-0.06125,0.00090,-0.00001
SPY241209P00490000,SPY,2024-12-09,490.00,put,0.00,0.01,0.00,0,0.01,481,0,10,2024-12-09,1.29815,-0.00087,0.00007,-0.06092,0.00094,-0.00001
SPY241209P00495000,SPY,2024-12-09,495.00,put,0.00,0.01,0.00,0,0.01,481,0,417,2024-12-09,1.24008,-0.00091,0.00008,-0.06058,0.00098,-0.00002
SPY241209P00500000,SPY,2024-12-09,500.00,put,0.00,0.01,0.00,0,0.01,481,0,1082,2024-12-09,1.18230,-0.00095,0.00009,-0.06017,0.00102,-0.00002
SPY241209P00505000,SPY,2024-12-09,505.00,put,0.00,0.01,0.00,0,0.01,481,0,54,2024-12-09,1.12514,-0.00100,0.00009,-0.05985,0.00107,-0.00002
SPY241209P00510000,SPY,2024-12-09,510.00,put,0.00,0.01,0.00,0,0.01,481,0,110,2024-12-09,1.06813,-0.00105,0.00010,-0.05938,0.00111,-0.00002
SPY241209P00515000,SPY,2024-12-09,515.00,put,0.00,0.01,0.00,0,0.01,481,0,25,2024-12-09,1.01158,-0.00110,0.00012,-0.05894,0.00117,-0.00002
SPY241209P00520000,SPY,2024-12-09,520.00,put,0.00,0.01,0.00,0,0.01,481,0,222,2024-12-09,0.95533,-0.00116,0.00013,-0.05845,0.00123,-0.00002
