contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA250110C00050000,NVDA,2025-01-10,50.00,call,99.45,90.22,89.95,26,90.50,26,0,118,2025-01-07,4.50326,0.99683,0.00017,-0.09762,0.00122,0.00407
NVDA250110C00055000,NVDA,2025-01-10,55.00,call,85.70,85.20,84.95,42,85.45,35,0,1061,2025-01-07,3.91852,0.99753,0.00015,-0.07008,0.00097,0.00449
NVDA250110C00060000,NVDA,2025-01-10,60.00,call,88.50,80.22,79.95,26,80.50,26,1,72,2025-01-07,3.72325,0.99635,0.00023,-0.09307,0.00139,0.00488
NVDA250110C00065000,NVDA,2025-01-10,65.00,call,71.50,75.22,74.95,26,75.50,26,0,1,2025-01-07,3.38210,0.99609,0.00027,-0.09071,0.00147,0.00529
NVDA250110C00070000,NVDA,2025-01-10,70.00,call,74.50,70.25,69.95,26,70.55,26,0,71,2025-01-07,3.22981,0.99410,0.00041,-0.12271,0.00213,0.00568
NVDA250110C00075000,NVDA,2025-01-10,75.00,call,76.39,65.25,64.95,26,65.55,26,0,18,2025-01-07,2.92616,0.99362,0.00048,-0.11999,0.00228,0.00608
NVDA250110C00080000,NVDA,2025-01-10,80.00,call,61.65,60.25,59.95,26,60.55,26,10,20,2025-01-07,2.64187,0.99309,0.00057,-0.11714,0.00245,0.00649
NVDA250110C00085000,NVDA,2025-01-10,85.00,call,59.33,55.25,54.95,26,55.55,26,0,75,2025-01-07,2.37465,0.99249,0.00069,-0.11424,0.00264,0.00689
NVDA250110C00090000,NVDA,2025-01-10,90.00,call,51.60,50.25,49.95,26,50.55,26,11,208,2025-01-07,2.12207,0.99180,0.00083,-0.11120,0.00285,0.00729
NVDA250110C00095000,NVDA,2025-01-10,95.00,call,46.95,45.20,44.95,26,45.45,31,2,406,2025-01-07,1.65760,0.99614,0.00054,-0.05143,0.00146,0.00776
NVDA250110C00100000,NVDA,2025-01-10,100.00,call,40.59,40.25,40.05,46,40.45,41,43,628,2025-01-07,1.65424,0.99003,0.00126,-0.10478,0.00338,0.00810
