contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA250207C00050000,NVDA,2025-02-07,50.00,call,79.35,78.62,77.30,300,79.95,20,2,103,2025-02-07,4.93466,1.00000,0.00000,-0.00593,0.00000,0.00137
NVDA250207C00055000,NVDA,2025-02-07,55.00,call,74.00,74.75,73.95,119,75.55,73,5,77,2025-02-07,4.62562,1.00000,0.00000,-0.00652,0.00000,0.00151
NVDA250207C00060000,NVDA,2025-02-07,60.00,call,68.53,69.93,69.40,69,70.45,54,1,144,2025-02-07,6.20749,0.99444,0.00038,-0.34240,0.00108,0.00162
NVDA250207C00065000,NVDA,2025-02-07,65.00,call,62.95,64.83,64.20,85,65.45,64,0,5,2025-02-07,4.00756,1.00000,0.00000,-0.00771,0.00000,0.00178
NVDA250207C00070000,NVDA,2025-02-07,70.00,call,59.40,59.53,58.70,147,60.35,52,379,391,2025-02-07,3.69852,1.00000,0.00000,-0.00830,0.00000,0.00192
NVDA250207C00075000,NVDA,2025-02-07,75.00,call,53.97,54.80,54.10,107,55.50,60,15,345,2025-02-07,3.38949,1.00000,0.00000,-0.00890,0.00000,0.00205
NVDA250207C00080000,NVDA,2025-02-07,80.00,call,49.56,49.98,49.35,63,50.60,85,403,552,2025-02-07,4.31348,0.98804,0.00106,-0.46585,0.00212,0.00215
NVDA250207C00085000,NVDA,2025-02-07,85.00,call,44.10,44.47,43.65,184,45.30,48,33,156,2025-02-07,2.77142,1.00000,0.00000,-0.01008,0.00000,0.00233
NVDA250207C00090000,NVDA,2025-02-07,90.00,call,38.30,39.95,39.55,28,40.35,61,338,753,2025-02-07,3.23896,0.98769,0.00145,-0.36200,0.00217,0.00242
NVDA250207C00091000,NVDA,2025-02-07,91.00,call,37.10,38.60,37.55,165,39.65,91,0,301,2025-02-07,2.40058,1.00000,0.00000,-0.01079,0.00000,0.00249
NVDA250207C00092000,NVDA,2025-02-07,92.00,call,37.05,37.50,36.55,164,38.45,65,1,71,2025-02-07,2.33877,1.00000,0.00000,-0.01091,0.00000,0.00252
NVDA250207C00093000,NVDA,2025-02-07,93.00,call,35.20,36.92,36.45,62,37.40,49,0,187,2025-02-07,2.83501,0.98993,0.00139,-0.26914,0.00182,0.00251
NVDA250207C00094000,NVDA,2025-02-07,94.00,call,29.85,35.50,34.65,157,36.35,55,0,61,2025-02-07,2.21516,1.00000,0.00000,-0.01115,0.00000,0.00258
NVDA250207C00095000,NVDA,2025-02-07,95.00,call,34.05,34.28,33.10,219,35.45,81,92,676,2025-02-07,2.15335,1.00000,0.00000,-0.01127,0.00000,0.00260
NVDA250207C00096000,NVDA,2025-02-07,96.00,call,34.02,33.60,32.70,157,34.50,74,1,201,2025-02-07,2.09154,1.00000,0.00000,-0.01139,0.00000,0.00263
NVDA250207C00097000,NVDA,2025-02-07,97.00,call,31.25,32.55,31.55,165,33.55,81,58,156,2025-02-07,2.02974,1.00000,0.00000,-0.01151,0.00000,0.00266
NVDA250207C00098000,NVDA,2025-02-07,98.00,call,27.85,31.52,30.65,162,32.40,52,0,297,2025-02-07,1.96793,1.00000,0.00000,-0.01162,0.00000,0.00268
NVDA250207C00099000,NVDA,2025-02-07,99.00,call,29.88,30.55,29.70,155,31.40,50,5,121,2025-02-07,1.90612,1.00000,0.00000,-0.01174,0.00000,0.00271
NVDA250207C00100000,NVDA,2025-02-07,100.00,call,29.90,29.58,28.35,191,30.80,7,705,2791,2025-02-07,1.84432,1.00000,0.00000,-0.01186,0.00000,0.00274
NVDA250207C00101000,NVDA,2025-02-07,101.00,call,27.65,28.48,27.55,175,29.40,61,22,179,2025-02-07,1.78251,1.00000,0.00000,-0.01198,0.00000,0.00277
NVDA250207C00102000,NVDA,2025-02-07,102.00,call,26.95,27.70,26.70,156,28.70,86,10,218,2025-02-07,1.72070,1.00000,0.00000,-0.01210,0.00000,0.00279
NVDA250207C00103000,NVDA,2025-02-07,103.00,call,26.40,26.68,25.60,170,27.75,92,1,360,2025-02-07,1.65890,1.00000,0.00000,-0.01222,0.00000,0.00282
NVDA250207C00104000,NVDA,2025-02-07,104.00,call,24.53,25.82,25.20,109,26.45,64,523,749,2025-02-07,1.59709,1.00000,0.00000,-0.01234,0.00000,0.00285
NVDA250207C00105000,NVDA,2025-02-07,105.00,call,24.38,25.08,24.35,67,25.80,118,752,1876,2025-02-07,2.31688,0.96505,0.00490,-0.61948,0.00524,0.00275
NVDA250207C00106000,NVDA,2025-02-07,106.00,call,22.47,24.05,23.50,28,24.60,86,66,484,2025-02-07,2.17237,0.96726,0.00495,-0.55195,0.00497,0.00278
NVDA250207C00107000,NVDA,2025-02-07,107.00,call,22.05,22.90,22.35,68,23.45,66,53,713,2025-02-07,1.66552,0.98822,0.00272,-0.18645,0.00209,0.00289
NVDA250207C00108000,NVDA,2025-02-07,108.00,call,20.50,21.45,20.55,177,22.35,48,109,1103,2025-02-07,1.34986,1.00000,0.00000,-0.01281,0.00000,0.00296
NVDA250207C00109000,NVDA,2025-02-07,109.00,call,19.55,21.02,20.45,67,21.60,82,145,898,2025-02-07,1.86232,0.96746,0.00575,-0.47288,0.00495,0.00287
NVDA250207C00110000,NVDA,2025-02-07,110.00,call,19.89,19.90,19.00,10,20.80,11,613,4509,2025-02-07,1.45394,0.98674,0.00345,-0.18107,0.00231,0.00296
