contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA240621C00000500,NVDA,2024-06-21,0.50,call,132.50,135.12,134.90,20,135.35,20,25,20104,2024-06-18,3.99770,1.00000,0.00000,-0.00007,0.00000,0.00004
NVDA240621C00001000,NVDA,2024-06-21,1.00,call,133.42,134.62,134.35,57,134.90,58,5,591,2024-06-18,3.98290,1.00000,0.00000,-0.00015,0.00000,0.00008
NVDA240621C00001500,NVDA,2024-06-21,1.50,call,0.00,134.12,133.85,62,134.40,57,0,110,2024-06-18,3.96811,1.00000,0.00000,-0.00022,0.00000,0.00012
NVDA240621C00002000,NVDA,2024-06-21,2.00,call,130.34,133.65,133.40,20,133.90,52,0,1020,2024-06-18,3.95331,1.00000,0.00000,-0.00031,0.00000,0.00016
NVDA240621C00002500,NVDA,2024-06-21,2.50,call,0.00,133.12,132.85,68,133.40,58,0,610,2024-06-18,3.93851,1.00000,0.00000,-0.00043,0.00000,0.00021
NVDA240621C00003000,NVDA,2024-06-21,3.00,call,0.00,132.62,132.35,61,132.90,60,0,120,2024-06-18,3.92371,1.00000,0.00000,-0.00060,0.00000,0.00025
NVDA240621C00003500,NVDA,2024-06-21,3.50,call,0.00,132.15,131.90,51,132.40,52,0,1220,2024-06-18,3.90892,1.00000,0.00000,-0.00086,0.00000,0.00029
NVDA240621C00004000,NVDA,2024-06-21,4.00,call,0.00,131.62,131.35,62,131.90,57,0,90,2024-06-18,3.89412,0.99999,0.00000,-0.00125,0.00000,0.00033
NVDA240621C00004500,NVDA,2024-06-21,4.50,call,0.00,131.15,130.90,51,131.40,52,0,1380,2024-06-18,3.87932,0.99999,0.00000,-0.00181,0.00001,0.00037
NVDA240621C00005000,NVDA,2024-06-21,5.00,call,116.59,130.65,130.45,17,130.85,17,0,2090,2024-06-18,3.86452,0.99998,0.00000,-0.00260,0.00001,0.00041
NVDA240621C00005500,NVDA,2024-06-21,5.50,call,115.50,130.15,129.90,54,130.40,52,0,1664,2024-06-18,3.84973,0.99997,0.00000,-0.00367,0.00002,0.00045
NVDA240621C00006000,NVDA,2024-06-21,6.00,call,0.00,129.65,129.40,51,129.90,52,0,1700,2024-06-18,3.83493,0.99995,0.00000,-0.00506,0.00003,0.00049
NVDA240621C00006500,NVDA,2024-06-21,6.50,call,0.00,129.15,128.90,51,129.40,52,0,1311,2024-06-18,3.82013,0.99993,0.00000,-0.00683,0.00004,0.00053
NVDA240621C00007000,NVDA,2024-06-21,7.00,call,0.00,128.68,128.45,20,128.90,52,0,5170,2024-06-18,3.80533,0.99990,0.00000,-0.00902,0.00005,0.00057
NVDA240621C00007500,NVDA,2024-06-21,7.50,call,125.88,128.15,127.90,75,128.40,51,5,664,2024-06-18,3.79054,0.99987,0.00000,-0.01168,0.00006,0.00061
