contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA241206P00050000,NVDA,2024-12-06,50.00,put,0.00,0.01,0.00,0,0.01,12174,0,2590,2024-12-06,6.60793,-0.00069,0.00005,-0.05869,0.00018,-0.00000
NVDA241206P00055000,NVDA,2024-12-06,55.00,put,0.00,0.01,0.00,0,0.01,9177,0,17414,2024-12-06,6.02990,-0.00075,0.00006,-0.05835,0.00019,-0.00000
NVDA241206P00060000,NVDA,2024-12-06,60.00,put,0.00,0.01,0.00,0,0.01,9050,0,6282,2024-12-06,5.50232,-0.00083,0.00007,-0.05795,0.00021,-0.00000
NVDA241206P00065000,NVDA,2024-12-06,65.00,put,0.00,0.01,0.00,0,0.01,9050,0,6267,2024-12-06,5.01712,-0.00091,0.00008,-0.05753,0.00023,-0.00000
NVDA241206P00070000,NVDA,2024-12-06,70.00,put,0.00,0.01,0.00,0,0.01,4500,0,6788,2024-12-06,4.56743,-0.00100,0.00010,-0.05706,0.00025,-0.00000
NVDA241206P00075000,NVDA,2024-12-06,75.00,put,0.00,0.01,0.00,0,0.01,4050,0,20347,2024-12-06,4.14808,-0.00109,0.00012,-0.05653,0.00027,-0.00000
NVDA241206P00080000,NVDA,2024-12-06,80.00,put,0.00,0.01,0.00,0,0.01,3600,0,68032,2024-12-06,3.75511,-0.00121,0.00014,-0.05597,0.00030,-0.00000
NVDA241206P00085000,NVDA,2024-12-06,85.00,put,0.00,0.01,0.00,0,0.01,3000,0,28975,2024-12-06,3.38469,-0.00133,0.00017,-0.05533,0.00033,-0.00001
NVDA241206P00086000,NVDA,2024-12-06,86.00,put,0.00,0.01,0.00,0,0.01,826,0,5333,2024-12-06,3.31320,-0.00136,0.00018,-0.05521,0.00033,-0.00001
NVDA241206P00087000,NVDA,2024-12-06,87.00,put,0.00,0.01,0.00,0,0.01,825,0,4210,2024-12-06,3.24231,-0.00139,0.00019,-0.05507,0.00034,-0.00001
NVDA241206P00088000,NVDA,2024-12-06,88.00,put,0.00,0.01,0.00,0,0.01,825,0,3659,2024-12-06,3.17219,-0.00142,0.00020,-0.05492,0.00035,-0.00001
NVDA241206P00089000,NVDA,2024-12-06,89.00,put,0.00,0.01,0.00,0,0.01,750,0,319,2024-12-06,3.10284,-0.00145,0.00020,-0.05478,0.00035,-0.00001
NVDA241206P00090000,NVDA,2024-12-06,90.00,put,0.01,0.01,0.00,0,0.01,2248,2,20792,2024-12-06,3.03424,-0.00148,0.00021,-0.05464,0.00036,-0.00001
NVDA241206P00091000,NVDA,2024-12-06,91.00,put,0.00,0.01,0.00,0,0.01,2850,0,3646,2024-12-06,2.96625,-0.00152,0.00022,-0.05448,0.00037,-0.00001
