contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA250207P00050000,NVDA,2025-02-07,50.00,put,0.01,0.01,0.00,0,0.01,2250,3,5991,2025-02-07,6.09453,-0.00081,0.00007,-0.05761,0.00019,-0.00000
NVDA250207P00055000,NVDA,2025-02-07,55.00,put,0.00,0.01,0.00,0,0.01,1950,0,6499,2025-02-07,5.51253,-0.00090,0.00008,-0.05719,0.00021,-0.00000
NVDA250207P00060000,NVDA,2025-02-07,60.00,put,0.00,0.01,0.00,0,0.01,1500,0,11251,2025-02-07,4.98099,-0.00100,0.00010,-0.05671,0.00023,-0.00000
NVDA250207P00065000,NVDA,2025-02-07,65.00,put,0.00,0.01,0.00,0,0.01,4755,0,21316,2025-02-07,4.49152,-0.00110,0.00012,-0.05618,0.00025,-0.00000
NVDA250207P00070000,NVDA,2025-02-07,70.00,put,0.01,0.01,0.00,0,0.01,4880,2,21455,2025-02-07,4.03757,-0.00122,0.00015,-0.05560,0.00028,-0.00000
NVDA250207P00075000,NVDA,2025-02-07,75.00,put,0.01,0.01,0.00,0,0.01,6449,330,36045,2025-02-07,3.61380,-0.00137,0.00018,-0.05496,0.00030,-0.00001
NVDA250207P00080000,NVDA,2025-02-07,80.00,put,0.01,0.01,0.00,0,0.01,5722,141,24552,2025-02-07,3.21579,-0.00153,0.00023,-0.05422,0.00034,-0.00001
NVDA250207P00085000,NVDA,2025-02-07,85.00,put,0.01,0.01,0.00,0,0.01,6288,487,15048,2025-02-07,2.84034,-0.00172,0.00029,-0.05343,0.00038,-0.00001
NVDA250207P00090000,NVDA,2025-02-07,90.00,put,0.01,0.01,0.00,0,0.01,4687,427,9665,2025-02-07,2.48425,-0.00196,0.00037,-0.05253,0.00042,-0.00001
NVDA250207P00091000,NVDA,2025-02-07,91.00,put,0.01,0.01,0.00,0,0.01,2688,89,2063,2025-02-07,2.41505,-0.00201,0.00039,-0.05233,0.00043,-0.00001
NVDA250207P00092000,NVDA,2025-02-07,92.00,put,0.01,0.01,0.00,0,0.01,2549,1,2850,2025-02-07,2.34660,-0.00207,0.00041,-0.05213,0.00044,-0.00001
NVDA250207P00093000,NVDA,2025-02-07,93.00,put,0.01,0.01,0.00,0,0.01,2390,11,3516,2025-02-07,2.27877,-0.00213,0.00043,-0.05193,0.00046,-0.00001
NVDA250207P00094000,NVDA,2025-02-07,94.00,put,0.01,0.01,0.00,0,0.01,2242,14,2765,2025-02-07,2.21155,-0.00219,0.00046,-0.05172,0.00047,-0.00001
NVDA250207P00095000,NVDA,2025-02-07,95.00,put,0.01,0.01,0.00,0,0.01,2068,89,31786,2025-02-07,2.14478,-0.00225,0.00048,-0.05147,0.00048,-0.00001
NVDA250207P00096000,NVDA,2025-02-07,96.00,put,0.01,0.01,0.00,0,0.01,1797,3,2525,2025-02-07,2.07878,-0.00232,0.00051,-0.05126,0.00049,-0.00001
NVDA250207P00097000,NVDA,2025-02-07,97.00,put,0.01,0.01,0.00,0,0.01,2000,420,2156,2025-02-07,2.01338,-0.00240,0.00055,-0.05105,0.00051,-0.00001
NVDA250207P00098000,NVDA,2025-02-07,98.00,put,0.01,0.01,0.00,0,0.01,1877,528,4603,2025-02-07,1.94829,-0.00247,0.00058,-0.05078,0.00052,-0.00001
NVDA250207P00099000,NVDA,2025-02-07,99.00,put,0.01,0.01,0.00,0,0.01,1405,49,7893,2025-02-07,1.88396,-0.00255,0.00062,-0.05056,0.00054,-0.00001
NVDA250207P00100000,NVDA,2025-02-07,100.00,put,0.01,0.01,0.00,0,0.01,1550,477,54497,2025-02-07,1.82009,-0.00264,0.00066,-0.05031,0.00055,-0.00001
NVDA250207P00101000,NVDA,2025-02-07,101.00,put,0.01,0.01,0.00,0,0.01,762,242,4347,2025-02-07,1.75653,-0.00272,0.00070,-0.05002,0.00057,-0.00001
NVDA250207P00102000,NVDA,2025-02-07,102.00,put,0.01,0.01,0.00,0,0.01,935,75,7945,2025-02-07,1.69372,-0.00282,0.00075,-0.04978,0.00059,-0.00001
NVDA250207P00103000,NVDA,2025-02-07,103.00,put,0.01,0.01,0.00,0,0.01,1383,65,5132,2025-02-07,1.63123,-0.00292,0.00081,-0.04950,0.00061,-0.00001
NVDA250207P00104000,NVDA,2025-02-07,104.00,put,0.01,0.01,0.00,0,0.01,645,305,3829,2025-02-07,1.56918,-0.00303,0.00087,-0.04920,0.00063,-0.00001
NVDA250207P00105000,NVDA,2025-02-07,105.00,put,0.01,0.01,0.00,0,0.01,1647,1660,28630,2025-02-07,1.50745,-0.00315,0.00093,-0.04887,0.00065,-0.00001
NVDA250207P00106000,NVDA,2025-02-07,106.00,put,0.01,0.01,0.00,0,0.01,987,307,9147,2025-02-07,1.44632,-0.00327,0.00101,-0.04858,0.00067,-0.00001
NVDA250207P00107000,NVDA,2025-02-07,107.00,put,0.01,0.01,0.00,0,0.01,983,1259,7682,2025-02-07,1.38550,-0.00341,0.00109,-0.04825,0.00070,-0.00001
NVDA250207P00108000,NVDA,2025-02-07,108.00,put,0.01,0.01,0.00,0,0.01,736,609,10971,2025-02-07,1.32498,-0.00355,0.00118,-0.04789,0.00072,-0.00001
NVDA250207P00109000,NVDA,2025-02-07,109.00,put,0.01,0.01,0.00,0,0.01,838,158,9558,2025-02-07,1.26492,-0.00371,0.00129,-0.04755,0.00075,-0.00001
NVDA250207P00110000,NVDA,2025-02-07,110.00,put,0.01,0.01,0.00,0,0.01,721,1526,42497,2025-02-07,1.20517,-0.00388,0.00141,-0.04718,0.00078,-0.00001
NVDA250207P00111000,NVDA,2025-02-07,111.00,put,0.01,0.01,0.00,0,0.01,589,812,7071,2025-02-07,1.14572,-0.00407,0.00155,-0.04679,0.00082,-0.00001
NVDA250207P00112000,NVDA,2025-02-07,112.00,put,0.01,0.01,0.00,0,0.01,593,932,7508,2025-02-07,1.08642,-0.00427,0.00170,-0.04633,0.00085,-0.00002
NVDA250207P00113000,NVDA,2025-02-07,113.00,put,0.01,0.01,0.00,0,0.01,1348,2007,14582,2025-02-07,1.02758,-0.00450,0.00189,-0.04592,0.00090,-0.00002
NVDA250207P00114000,NVDA,2025-02-07,114.00,put,0.01,0.01,0.00,0,0.01,745,2402,9986,2025-02-07,0.96889,-0.00476,0.00210,-0.04545,0.00094,-0.00002
NVDA250207P00115000,NVDA,2025-02-07,115.00,put,0.01,0.01,0.00,0,0.01,1218,3829,45318,2025-02-07,0.91036,-0.00503,0.00235,-0.04493,0.00099,-0.00002
NVDA250207P00116000,NVDA,2025-02-07,116.00,put,0.01,0.01,0.00,0,0.01,725,3415,10978,2025-02-07,0.85213,-0.00536,0.00265,-0.04442,0.00104,-0.00002
NVDA250207P00117000,NVDA,2025-02-07,117.00,put,0.01,0.01,0.00,0,0.01,737,2110,17698,2025-02-07,0.79405,-0.00572,0.00302,-0.04388,0.00111,-0.00002
NVDA250207P00118000,NVDA,2025-02-07,118.00,put,0.01,0.01,0.00,0,0.01,68,6708,15980,2025-02-07,0.73597,-0.00613,0.00347,-0.04325,0.00118,-0.00002
NVDA250207P00119000,NVDA,2025-02-07,119.00,put,0.01,0.01,0.00,0,0.01,63,7969,12189,2025-02-07,0.67805,-0.00662,0.00402,-0.04261,0.00126,-0.00002
NVDA250207P00120000,NVDA,2025-02-07,120.00,put,0.03,0.01,0.00,0,0.01,104,17211,41617,2025-02-07,0.61997,-0.00717,0.00473,-0.04183,0.00135,-0.00003
NVDA250207P00121000,NVDA,2025-02-07,121.00,put,0.01,0.01,0.00,0,0.01,151,7542,22004,2025-02-07,0.56204,-0.00785,0.00565,-0.04107,0.00147,-0.00003
NVDA250207P00122000,NVDA,2025-02-07,122.00,put,0.02,0.01,0.00,0,0.01,551,13508,29495,2025-02-07,0.50381,-0.00867,0.00687,-0.04013,0.00160,-0.00003
NVDA250207P00123000,NVDA,2025-02-07,123.00,put,0.01,0.01,0.00,0,0.01,80,21464,23892,2025-02-07,0.44558,-0.00972,0.00858,-0.03920,0.00177,-0.00003
NVDA250207P00124000,NVDA,2025-02-07,124.00,put,0.01,0.01,0.00,0,0.01,354,21205,20201,2025-02-07,0.38674,-0.01103,0.01104,-0.03797,0.00197,-0.00004
NVDA250207P00125000,NVDA,2025-02-07,125.00,put,0.01,0.01,0.00,0,0.01,127,75691,27669,2025-02-07,0.32760,-0.01284,0.01488,-0.03667,0.00225,-0.00005
NVDA250207P00126000,NVDA,2025-02-07,126.00,put,0.01,0.01,0.00,0,0.01,32,126658,13626,2025-02-07,0.26754,-0.01541,0.02132,-0.03501,0.00263,-0.00006
NVDA250207P00127000,NVDA,2025-02-07,127.00,put,0.01,0.01,0.00,0,0.01,481,118106,18448,2025-02-07,0.20626,-0.01947,0.03376,-0.03287,0.00322,-0.00007
NVDA250207P00128000,NVDA,2025-02-07,128.00,put,0.01,0.01,0.01,616,0.02,99,209028,13003,2025-02-07,0.14285,-0.02690,0.06400,-0.02974,0.00422,-0.00010
NVDA250207P00129000,NVDA,2025-02-07,129.00,put,0.01,0.01,0.01,788,0.02,222,164995,5491,2025-02-07,0.07547,-0.04696,0.19125,-0.02443,0.00667,-0.00017
NVDA250207P00130000,NVDA,2025-02-07,130.00,put,0.05,0.18,0.06,35,0.30,3,69509,10062,2025-02-07,0.03309,-0.73943,1.44381,-0.02511,0.02207,-0.00264
NVDA250207P00131000,NVDA,2025-02-07,131.00,put,1.06,1.32,0.60,63,2.04,122,13255,3660,2025-02-07,0.21144,-0.78448,0.20362,-0.19799,0.01989,-0.00283
NVDA250207P00132000,NVDA,2025-02-07,132.00,put,2.03,2.73,1.50,96,3.95,236,7217,6167,2025-02-07,0.51403,-0.72420,0.09565,-0.57218,0.02271,-0.00265
NVDA250207P00133000,NVDA,2025-02-07,133.00,put,3.10,3.68,2.71,48,4.65,186,3626,3837,2025-02-07,0.60274,-0.77115,0.07392,-0.60786,0.02058,-0.00284
NVDA250207P00134000,NVDA,2025-02-07,134.00,put,4.20,4.78,3.90,6,5.65,200,1473,2928,2025-02-07,0.75701,-0.78027,0.05751,-0.74854,0.02011,-0.00291
NVDA250207P00135000,NVDA,2025-02-07,135.00,put,5.05,5.28,4.90,3,5.65,67,2543,11152,2025-02-07,0.53140,-0.91666,0.04245,-0.26212,0.01042,-0.00341
NVDA250207P00136000,NVDA,2025-02-07,136.00,put,6.05,6.45,5.25,107,7.65,191,1346,2280,2025-02-07,0.75000,-0.87659,0.04003,-0.50569,0.01387,-0.00329
NVDA250207P00137000,NVDA,2025-02-07,137.00,put,7.00,7.28,6.60,15,7.95,113,771,1333,2025-02-07,0.67851,-0.93193,0.02850,-0.28774,0.00893,-0.00351
NVDA250207P00138000,NVDA,2025-02-07,138.00,put,8.23,8.00,7.40,87,8.60,67,1256,1216,2025-02-07,0.50434,-1.00000,0.00000,0.01637,0.00000,-0.00378
