contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA241004P00050000,NVDA,2024-10-04,50.00,put,0.01,0.01,0.00,0,0.01,12269,1,22487,2024-10-03,5.78463,-0.00090,0.00008,-0.05694,0.00020,-0.00000
NVDA241004P00055000,NVDA,2024-10-04,55.00,put,0.00,0.01,0.00,0,0.01,1279,0,12437,2024-10-03,5.19989,-0.00100,0.00010,-0.05645,0.00022,-0.00000
NVDA241004P00060000,NVDA,2024-10-04,60.00,put,0.01,0.01,0.00,0,0.01,154,3,10950,2024-10-03,4.66576,-0.00112,0.00012,-0.05592,0.00024,-0.00000
NVDA241004P00065000,NVDA,2024-10-04,65.00,put,0.00,0.01,0.00,0,0.01,534,0,25775,2024-10-03,4.17354,-0.00125,0.00015,-0.05532,0.00027,-0.00000
NVDA241004P00067000,NVDA,2024-10-04,67.00,put,0.00,0.01,0.00,0,0.01,534,0,37774,2024-10-03,3.98681,-0.00131,0.00017,-0.05506,0.00028,-0.00000
NVDA241004P00068000,NVDA,2024-10-04,68.00,put,0.00,0.01,0.00,0,0.01,534,0,20180,2024-10-03,3.89550,-0.00134,0.00018,-0.05493,0.00028,-0.00000
NVDA241004P00069000,NVDA,2024-10-04,69.00,put,0.00,0.01,0.00,0,0.01,520,0,16573,2024-10-03,3.80541,-0.00137,0.00018,-0.05480,0.00029,-0.00000
NVDA241004P00070000,NVDA,2024-10-04,70.00,put,0.00,0.01,0.00,0,0.01,520,0,12808,2024-10-03,3.71654,-0.00140,0.00019,-0.05465,0.00029,-0.00000
NVDA241004P00071000,NVDA,2024-10-04,71.00,put,0.00,0.01,0.00,0,0.01,520,0,6556,2024-10-03,3.62889,-0.00143,0.00020,-0.05451,0.00030,-0.00001
NVDA241004P00072000,NVDA,2024-10-04,72.00,put,0.00,0.01,0.00,0,0.01,520,0,3289,2024-10-03,3.54231,-0.00146,0.00021,-0.05435,0.00031,-0.00001
NVDA241004P00073000,NVDA,2024-10-04,73.00,put,0.00,0.01,0.00,0,0.01,520,0,6335,2024-10-03,3.45694,-0.00150,0.00022,-0.05420,0.00031,-0.00001
NVDA241004P00074000,NVDA,2024-10-04,74.00,put,0.00,0.01,0.00,0,0.01,362,0,3958,2024-10-03,3.37280,-0.00154,0.00023,-0.05407,0.00032,-0.00001
NVDA241004P00075000,NVDA,2024-10-04,75.00,put,0.01,0.01,0.00,0,0.01,362,8,4247,2024-10-03,3.28957,-0.00157,0.00024,-0.05391,0.00033,-0.00001
NVDA241004P00076000,NVDA,2024-10-04,76.00,put,0.00,0.01,0.00,0,0.01,283,0,4843,2024-10-03,3.20725,-0.00161,0.00025,-0.05373,0.00034,-0.00001
NVDA241004P00077000,NVDA,2024-10-04,77.00,put,0.01,0.01,0.00,0,0.01,382,180,2184,2024-10-03,3.12616,-0.00165,0.00027,-0.05358,0.00034,-0.00001
NVDA241004P00078000,NVDA,2024-10-04,78.00,put,0.01,0.01,0.00,0,0.01,382,250,2587,2024-10-03,3.04583,-0.00170,0.00028,-0.05340,0.00035,-0.00001
NVDA241004P00079000,NVDA,2024-10-04,79.00,put,0.01,0.01,0.00,0,0.01,310,150,1411,2024-10-03,2.96656,-0.00174,0.00029,-0.05324,0.00036,-0.00001
NVDA241004P00080000,NVDA,2024-10-04,80.00,put,0.00,0.01,0.00,0,0.01,432,0,6817,2024-10-03,2.88821,-0.00179,0.00031,-0.05307,0.00037,-0.00001
NVDA241004P00081000,NVDA,2024-10-04,81.00,put,0.00,0.01,0.00,0,0.01,394,0,3735,2024-10-03,2.81062,-0.00183,0.00032,-0.05288,0.00038,-0.00001
NVDA241004P00082000,NVDA,2024-10-04,82.00,put,0.00,0.01,0.00,0,0.01,392,0,2035,2024-10-03,2.73394,-0.00188,0.00034,-0.05269,0.00039,-0.00001
NVDA241004P00083000,NVDA,2024-10-04,83.00,put,0.00,0.01,0.00,0,0.01,235,0,10064,2024-10-03,2.65818,-0.00193,0.00036,-0.05252,0.00040,-0.00001
NVDA241004P00084000,NVDA,2024-10-04,84.00,put,0.00,0.01,0.00,0,0.01,249,0,14306,2024-10-03,2.58318,-0.00199,0.00038,-0.05233,0.00041,-0.00001
NVDA241004P00085000,NVDA,2024-10-04,85.00,put,0.01,0.01,0.00,0,0.01,242,1,7889,2024-10-03,2.50880,-0.00204,0.00040,-0.05210,0.00042,-0.00001
NVDA241004P00086000,NVDA,2024-10-04,86.00,put,0.00,0.01,0.00,0,0.01,243,0,6387,2024-10-03,2.43532,-0.00210,0.00042,-0.05190,0.00043,-0.00001
NVDA241004P00087000,NVDA,2024-10-04,87.00,put,0.01,0.01,0.00,0,0.01,384,23,5932,2024-10-03,2.36261,-0.00216,0.00045,-0.05170,0.00044,-0.00001
NVDA241004P00088000,NVDA,2024-10-04,88.00,put,0.01,0.01,0.00,0,0.01,130,1,5283,2024-10-03,2.29051,-0.00223,0.00047,-0.05148,0.00045,-0.00001
NVDA241004P00089000,NVDA,2024-10-04,89.00,put,0.01,0.01,0.00,0,0.01,21,201,7286,2024-10-03,2.21917,-0.00230,0.00050,-0.05126,0.00046,-0.00001
NVDA241004P00090000,NVDA,2024-10-04,90.00,put,0.01,0.01,0.00,0,0.01,4838,393,20388,2024-10-03,2.14844,-0.00237,0.00054,-0.05102,0.00048,-0.00001
NVDA241004P00091000,NVDA,2024-10-04,91.00,put,0.01,0.01,0.00,0,0.01,100,4,12909,2024-10-03,2.07847,-0.00245,0.00057,-0.05080,0.00049,-0.00001
NVDA241004P00092000,NVDA,2024-10-04,92.00,put,0.01,0.01,0.00,0,0.01,30,6,8453,2024-10-03,2.00896,-0.00252,0.00061,-0.05053,0.00050,-0.00001
NVDA241004P00093000,NVDA,2024-10-04,93.00,put,0.01,0.01,0.00,0,0.01,112,21,2736,2024-10-03,1.94021,-0.00261,0.00065,-0.05030,0.00052,-0.00001
NVDA241004P00094000,NVDA,2024-10-04,94.00,put,0.01,0.01,0.00,0,0.01,167,228,5298,2024-10-03,1.87192,-0.00270,0.00069,-0.05002,0.00053,-0.00001
NVDA241004P00095000,NVDA,2024-10-04,95.00,put,0.01,0.01,0.00,0,0.01,251,336,5854,2024-10-03,1.80424,-0.00280,0.00074,-0.04975,0.00055,-0.00001
NVDA241004P00096000,NVDA,2024-10-04,96.00,put,0.01,0.01,0.00,0,0.04,213,396,2887,2024-10-03,1.73717,-0.00290,0.00079,-0.04948,0.00057,-0.00001
NVDA241004P00097000,NVDA,2024-10-04,97.00,put,0.01,0.01,0.00,0,0.01,200,1091,2265,2024-10-03,1.67055,-0.00301,0.00085,-0.04918,0.00059,-0.00001
NVDA241004P00098000,NVDA,2024-10-04,98.00,put,0.01,0.01,0.00,0,0.01,120,384,5390,2024-10-03,1.60455,-0.00312,0.00092,-0.04890,0.00061,-0.00001
NVDA241004P00099000,NVDA,2024-10-04,99.00,put,0.01,0.01,0.00,0,0.01,40,614,2712,2024-10-03,1.53885,-0.00325,0.00099,-0.04857,0.00063,-0.00001
NVDA241004P00100000,NVDA,2024-10-04,100.00,put,0.01,0.01,0.00,0,0.01,13,2540,19212,2024-10-03,1.47376,-0.00338,0.00108,-0.04825,0.00066,-0.00001
NVDA241004P00101000,NVDA,2024-10-04,101.00,put,0.01,0.01,0.00,0,0.01,1,381,7068,2024-10-03,1.40897,-0.00353,0.00117,-0.04789,0.00068,-0.00001
NVDA241004P00102000,NVDA,2024-10-04,102.00,put,0.01,0.01,0.01,10,0.02,134,4206,7438,2024-10-03,1.34465,-0.00368,0.00127,-0.04752,0.00071,-0.00001
NVDA241004P00103000,NVDA,2024-10-04,103.00,put,0.01,0.01,0.01,26,0.02,184,1455,5312,2024-10-03,1.28078,-0.00386,0.00139,-0.04715,0.00074,-0.00001
NVDA241004P00104000,NVDA,2024-10-04,104.00,put,0.01,0.01,0.01,26,0.02,26,788,5716,2024-10-03,1.21721,-0.00404,0.00153,-0.04675,0.00077,-0.00001
NVDA241004P00105000,NVDA,2024-10-04,105.00,put,0.01,0.01,0.01,212,0.02,205,1625,18781,2024-10-03,1.15410,-0.00425,0.00169,-0.04635,0.00080,-0.00001
NVDA241004P00106000,NVDA,2024-10-04,106.00,put,0.01,0.01,0.01,130,0.02,150,1804,8239,2024-10-03,1.09130,-0.00448,0.00187,-0.04593,0.00084,-0.00002
NVDA241004P00107000,NVDA,2024-10-04,107.00,put,0.01,0.01,0.01,323,0.02,10,1871,6141,2024-10-03,1.02865,-0.00473,0.00208,-0.04544,0.00088,-0.00002
NVDA241004P00108000,NVDA,2024-10-04,108.00,put,0.02,0.03,0.02,46,0.03,430,10548,18805,2024-10-03,1.10548,-0.01198,0.00439,-0.11067,0.00201,-0.00004
NVDA241004P00109000,NVDA,2024-10-04,109.00,put,0.03,0.03,0.02,155,0.03,414,3033,18338,2024-10-03,1.03627,-0.01271,0.00493,-0.10920,0.00211,-0.00004
NVDA241004P00110000,NVDA,2024-10-04,110.00,put,0.03,0.03,0.02,291,0.03,81,16389,45115,2024-10-03,0.96722,-0.01354,0.00558,-0.10762,0.00223,-0.00005
NVDA241004P00111000,NVDA,2024-10-04,111.00,put,0.03,0.04,0.03,115,0.04,507,4369,9589,2024-10-03,0.93658,-0.01803,0.00736,-0.13317,0.00285,-0.00006
NVDA241004P00112000,NVDA,2024-10-04,112.00,put,0.04,0.04,0.04,43,0.05,285,7672,13681,2024-10-03,0.86524,-0.01936,0.00846,-0.13068,0.00303,-0.00007
NVDA241004P00113000,NVDA,2024-10-04,113.00,put,0.05,0.06,0.05,135,0.06,605,12800,20774,2024-10-03,0.84817,-0.02821,0.01185,-0.17585,0.00416,-0.00010
NVDA241004P00114000,NVDA,2024-10-04,114.00,put,0.06,0.06,0.05,318,0.06,30,10849,18641,2024-10-03,0.77301,-0.03065,0.01393,-0.17163,0.00445,-0.00010
NVDA241004P00115000,NVDA,2024-10-04,115.00,put,0.06,0.07,0.06,384,0.07,83,51229,45103,2024-10-03,0.71722,-0.03744,0.01770,-0.18767,0.00525,-0.00013
NVDA241004P00116000,NVDA,2024-10-04,116.00,put,0.10,0.10,0.09,20,0.10,519,27867,25723,2024-10-03,0.68704,-0.05293,0.02443,-0.23750,0.00694,-0.00018
NVDA241004P00117000,NVDA,2024-10-04,117.00,put,0.13,0.12,0.12,54,0.13,56,30555,30009,2024-10-03,0.62973,-0.06671,0.03195,-0.26084,0.00832,-0.00023
NVDA241004P00118000,NVDA,2024-10-04,118.00,put,0.19,0.18,0.17,201,0.19,61,34354,17033,2024-10-03,0.60274,-0.09737,0.04441,-0.33192,0.01107,-0.00033
NVDA241004P00119000,NVDA,2024-10-04,119.00,put,0.27,0.28,0.26,279,0.29,51,50129,15385,2024-10-03,0.58278,-0.14380,0.06048,-0.42229,0.01457,-0.00049
NVDA241004P00120000,NVDA,2024-10-04,120.00,put,0.42,0.42,0.41,12,0.44,14,141676,25405,2024-10-03,0.55793,-0.20529,0.07926,-0.50670,0.01829,-0.00070
NVDA241004P00121000,NVDA,2024-10-04,121.00,put,0.65,0.66,0.64,10,0.67,9,78761,16195,2024-10-03,0.54985,-0.29246,0.09720,-0.60269,0.02210,-0.00100
