contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA250207C00050000,NVDA,2025-02-07,50.00,call,79.35,78.62,77.30,300,79.95,20,2,103,2025-02-07,4.93466,1.00000,0.00000,-0.00593,0.00000,0.00137
NVDA250207P00050000,NVDA,2025-02-07,50.00,put,0.01,0.01,0.00,0,0.01,2250,3,5991,2025-02-07,6.09453,-0.00081,0.00007,-0.05761,0.00019,-0.00000
NVDA250207C00055000,NVDA,2025-02-07,55.00,call,74.00,74.75,73.95,119,75.55,73,5,77,2025-02-07,4.62562,1.00000,0.00000,-0.00652,0.00000,0.00151
NVDA250207P00055000,NVDA,2025-02-07,55.00,put,0.00,0.01,0.00,0,0.01,1950,0,6499,2025-02-07,5.51253,-0.00090,0.00008,-0.05719,0.00021,-0.00000
NVDA250207C00060000,NVDA,2025-02-07,60.00,call,68.53,69.93,69.40,69,70.45,54,1,144,2025-02-07,6.20749,0.99444,0.00038,-0.34240,0.00108,0.00162
NVDA250207P00060000,NVDA,2025-02-07,60.00,put,0.00,0.01,0.00,0,0.01,1500,0,11251,2025-02-07,4.98099,-0.00100,0.00010,-0.05671,0.00023,-0.00000
NVDA250207C00065000,NVDA,2025-02-07,65.00,call,62.95,64.83,64.20,85,65.45,64,0,5,2025-02-07,4.00756,1.00000,0.00000,-0.00771,0.00000,0.00178
NVDA250207P00065000,NVDA,2025-02-07,65.00,put,0.00,0.01,0.00,0,0.01,4755,0,21316,2025-02-07,4.49152,-0.00110,0.00012,-0.05618,0.00025,-0.00000
NVDA250207C00070000,NVDA,2025-02-07,70.00,call,59.40,59.53,58.70,147,60.35,52,379,391,2025-02-07,3.69852,1.00000,0.00000,-0.00830,0.00000,0.00192
NVDA250207P00070000,NVDA,2025-02-07,70.00,put,0.01,0.01,0.00,0,0.01,4880,2,21455,2025-02-07,4.03757,-0.00122,0.00015,-0.05560,0.00028,-0.00000
NVDA250207C00075000,NVDA,2025-02-07,75.00,call,53.97,54.80,54.10,107,55.50,60,15,345,2025-02-07,3.38949,1.00000,0.00000,-0.00890,0.00000,0.00205
NVDA250207P00075000,NVDA,2025-02-07,75.00,put,0.01,0.01,0.00,0,0.01,6449,330,36045,2025-02-07,3.61380,-0.00137,0.00018,-0.05496,0.00030,-0.00001
NVDA250207C00080000,NVDA,2025-02-07,80.00,call,49.56,49.98,49.35,63,50.60,85,403,552,2025-02-07,4.31348,0.98804,0.00106,-0.46585,0.00212,0.00215
NVDA250207P00080000,NVDA,2025-02-07,80.00,put,0.01,0.01,0.00,0,0.01,5722,141,24552,2025-02-07,3.21579,-0.00153,0.00023,-0.05422,0.00034,-0.00001
NVDA250207C00085000,NVDA,2025-02-07,85.00,call,44.10,44.47,43.65,184,45.30,48,33,156,2025-02-07,2.77142,1.00000,0.00000,-0.01008,0.00000,0.00233
NVDA250207P00085000,NVDA,2025-02-07,85.00,put,0.01,0.01,0.00,0,0.01,6288,487,15048,2025-02-07,2.84034,-0.00172,0.00029,-0.05343,0.00038,-0.00001
NVDA250207C00090000,NVDA,2025-02-07,90.00,call,38.30,39.95,39.55,28,40.35,61,338,753,2025-02-07,3.23896,0.98769,0.00145,-0.36200,0.00217,0.00242
NVDA250207P00090000,NVDA,2025-02-07,90.00,put,0.01,0.01,0.00,0,0.01,4687,427,9665,2025-02-07,2.48425,-0.00196,0.00037,-0.05253,0.00042,-0.00001
NVDA250207C00091000,NVDA,2025-02-07,91.00,call,37.10,38.60,37.55,165,39.65,91,0,301,2025-02-07,2.40058,1.00000,0.00000,-0.01079,0.00000,0.00249
NVDA250207P00091000,NVDA,2025-02-07,91.00,put,0.01,0.01,0.00,0,0.01,2688,89,2063,2025-02-07,2.41505,-0.00201,0.00039,-0.05233,0.00043,-0.00001
NVDA250207C00092000,NVDA,2025-02-07,92.00,call,37.05,37.50,36.55,164,38.45,65,1,71,2025-02-07,2.33877,1.00000,0.00000,-0.01091,0.00000,0.00252
NVDA250207P00092000,NVDA,2025-02-07,92.00,put,0.01,0.01,0.00,0,0.01,2549,1,2850,2025-02-07,2.34660,-0.00207,0.00041,-0.05213,0.00044,-0.00001
NVDA250207C00093000,NVDA,2025-02-07,93.00,call,35.20,36.92,36.45,62,37.40,49,0,187,2025-02-07,2.83501,0.98993,0.00139,-0.26914,0.00182,0.00251
NVDA250207P00093000,NVDA,2025-02-07,93.00,put,0.01,0.01,0.00,0,0.01,2390,11,3516,2025-02-07,2.27877,-0.00213,0.00043,-0.05193,0.00046,-0.00001
NVDA250207C00094000,NVDA,2025-02-07,94.00,call,29.85,35.50,34.65,157,36.35,55,0,61,2025-02-07,2.21516,1.00000,0.00000,-0.01115,0.00000,0.00258
NVDA250207P00094000,NVDA,2025-02-07,94.00,put,0.01,0.01,0.00,0,0.01,2242,14,2765,2025-02-07,2.21155,-0.00219,0.00046,-0.05172,0.00047,-0.00001
NVDA250207C00095000,NVDA,2025-02-07,95.00,call,34.05,34.28,33.10,219,35.45,81,92,676,2025-02-07,2.15335,1.00000,0.00000,-0.01127,0.00000,0.00260
NVDA250207P00095000,NVDA,2025-02-07,95.00,put,0.01,0.01,0.00,0,0.01,2068,89,31786,2025-02-07,2.14478,-0.00225,0.00048,-0.05147,0.00048,-0.00001
NVDA250207C00096000,NVDA,2025-02-07,96.00,call,34.02,33.60,32.70,157,34.50,74,1,201,2025-02-07,2.09154,1.00000,0.00000,-0.01139,0.00000,0.00263
NVDA250207P00096000,NVDA,2025-02-07,96.00,put,0.01,0.01,0.00,0,0.01,1797,3,2525,2025-02-07,2.07878,-0.00232,0.00051,-0.05126,0.00049,-0.00001
NVDA250207C00097000,NVDA,2025-02-07,97.00,call,31.25,32.55,31.55,165,33.55,81,58,156,2025-02-07,2.02974,1.00000,0.00000,-0.01151,0.00000,0.00266
NVDA250207P00097000,NVDA,2025-02-07,97.00,put,0.01,0.01,0.00,0,0.01,2000,420,2156,2025-02-07,2.01338,-0.00240,0.00055,-0.05105,0.00051,-0.00001
NVDA250207C00098000,NVDA,2025-02-07,98.00,call,27.85,31.52,30.65,162,32.40,52,0,297,2025-02-07,1.96793,1.00000,0.00000,-0.01162,0.00000,0.00268
NVDA250207P00098000,NVDA,2025-02-07,98.00,put,0.01,0.01,0.00,0,0.01,1877,528,4603,2025-02-07,1.94829,-0.00247,0.00058,-0.05078,0.00052,-0.00001
NVDA250207C00099000,NVDA,2025-02-07,99.00,call,29.88,30.55,29.70,155,31.40,50,5,121,2025-02-07,1.90612,1.00000,0.00000,-0.01174,0.00000,0.00271
NVDA250207P00099000,NVDA,2025-02-07,99.00,put,0.01,0.01,0.00,0,0.01,1405,49,7893,2025-02-07,1.88396,-0.00255,0.00062,-0.05056,0.00054,-0.00001
NVDA250207C00100000,NVDA,2025-02-07,100.00,call,29.90,29.58,28.35,191,30.80,7,705,2791,2025-02-07,1.84432,1.00000,0.00000,-0.01186,0.00000,0.00274
NVDA250207P00100000,NVDA,2025-02-07,100.00,put,0.01,0.01,0.00,0,0.01,1550,477,54497,2025-02-07,1.82009,-0.00264,0.00066,-0.05031,0.00055,-0.00001
NVDA250207C00101000,NVDA,2025-02-07,101.00,call,27.65,28.48,27.55,175,29.40,61,22,179,2025-02-07,1.78251,1.00000,0.00000,-0.01198,0.00000,0.00277
NVDA250207P00101000,NVDA,2025-02-07,101.00,put,0.01,0.01,0.00,0,0.01,762,242,4347,2025-02-07,1.75653,-0.00272,0.00070,-0.05002,0.00057,-0.00001
NVDA250207C00102000,NVDA,2025-02-07,102.00,call,26.95,27.70,26.70,156,28.70,86,10,218,2025-02-07,1.72070,1.00000,0.00000,-0.01210,0.00000,0.00279
NVDA250207P00102000,NVDA,2025-02-07,102.00,put,0.01,0.01,0.00,0,0.01,935,75,7945,2025-02-07,1.69372,-0.00282,0.00075,-0.04978,0.00059,-0.00001
NVDA250207C00103000,NVDA,2025-02-07,103.00,call,26.40,26.68,25.60,170,27.75,92,1,360,2025-02-07,1.65890,1.00000,0.00000,-0.01222,0.00000,0.00282
NVDA250207P00103000,NVDA,2025-02-07,103.00,put,0.01,0.01,0.00,0,0.01,1383,65,5132,2025-02-07,1.63123,-0.00292,0.00081,-0.04950,0.00061,-0.00001
NVDA250207C00104000,NVDA,2025-02-07,104.00,call,24.53,25.82,25.20,109,26.45,64,523,749,2025-02-07,1.59709,1.00000,0.00000,-0.01234,0.00000,0.00285
NVDA250207P00104000,NVDA,2025-02-07,104.00,put,0.01,0.01,0.00,0,0.01,645,305,3829,2025-02-07,1.56918,-0.00303,0.00087,-0.04920,0.00063,-0.00001
NVDA250207C00105000,NVDA,2025-02-07,105.00,call,24.38,25.08,24.35,67,25.80,118,752,1876,2025-02-07,2.31688,0.96505,0.00490,-0.61948,0.00524,0.00275
NVDA250207P00105000,NVDA,2025-02-07,105.00,put,0.01,0.01,0.00,0,0.01,1647,1660,28630,2025-02-07,1.50745,-0.00315,0.00093,-0.04887,0.00065,-0.00001
NVDA250207C00106000,NVDA,2025-02-07,106.00,call,22.47,24.05,23.50,28,24.60,86,66,484,2025-02-07,2.17237,0.96726,0.00495,-0.55195,0.00497,0.00278
NVDA250207P00106000,NVDA,2025-02-07,106.00,put,0.01,0.01,0.00,0,0.01,987,307,9147,2025-02-07,1.44632,-0.00327,0.00101,-0.04858,0.00067,-0.00001
NVDA250207C00107000,NVDA,2025-02-07,107.00,call,22.05,22.90,22.35,68,23.45,66,53,713,2025-02-07,1.66552,0.98822,0.00272,-0.18645,0.00209,0.00289
NVDA250207P00107000,NVDA,2025-02-07,107.00,put,0.01,0.01,0.00,0,0.01,983,1259,7682,2025-02-07,1.38550,-0.00341,0.00109,-0.04825,0.00070,-0.00001
NVDA250207C00108000,NVDA,2025-02-07,108.00,call,20.50,21.45,20.55,177,22.35,48,109,1103,2025-02-07,1.34986,1.00000,0.00000,-0.01281,0.00000,0.00296
NVDA250207P00108000,NVDA,2025-02-07,108.00,put,0.01,0.01,0.00,0,0.01,736,609,10971,2025-02-07,1.32498,-0.00355,0.00118,-0.04789,0.00072,-0.00001
NVDA250207C00109000,NVDA,2025-02-07,109.00,call,19.55,21.02,20.45,67,21.60,82,145,898,2025-02-07,1.86232,0.96746,0.00575,-0.47288,0.00495,0.00287
NVDA250207P00109000,NVDA,2025-02-07,109.00,put,0.01,0.01,0.00,0,0.01,838,158,9558,2025-02-07,1.26492,-0.00371,0.00129,-0.04755,0.00075,-0.00001
NVDA250207C00110000,NVDA,2025-02-07,110.00,call,19.89,19.90,19.00,10,20.80,11,613,4509,2025-02-07,1.45394,0.98674,0.00345,-0.18107,0.00231,0.00296
NVDA250207P00110000,NVDA,2025-02-07,110.00,put,0.01,0.01,0.00,0,0.01,721,1526,42497,2025-02-07,1.20517,-0.00388,0.00141,-0.04718,0.00078,-0.00001
NVDA250207C00111000,NVDA,2025-02-07,111.00,call,18.05,18.60,18.10,109,19.10,14,204,3104,2025-02-07,1.16444,1.00000,0.00000,-0.01317,0.00000,0.00304
NVDA250207P00111000,NVDA,2025-02-07,111.00,put,0.01,0.01,0.00,0,0.01,589,812,7071,2025-02-07,1.14572,-0.00407,0.00155,-0.04679,0.00082,-0.00001
NVDA250207C00112000,NVDA,2025-02-07,112.00,call,16.72,17.35,16.50,210,18.20,52,119,1734,2025-02-07,1.10263,1.00000,0.00000,-0.01328,0.00000,0.00307
NVDA250207P00112000,NVDA,2025-02-07,112.00,put,0.01,0.01,0.00,0,0.01,593,932,7508,2025-02-07,1.08642,-0.00427,0.00170,-0.04633,0.00085,-0.00002
NVDA250207C00113000,NVDA,2025-02-07,113.00,call,16.50,16.60,16.15,98,17.05,44,313,2798,2025-02-07,1.04083,1.00000,0.00000,-0.01340,0.00000,0.00310
NVDA250207P00113000,NVDA,2025-02-07,113.00,put,0.01,0.01,0.00,0,0.01,1348,2007,14582,2025-02-07,1.02758,-0.00450,0.00189,-0.04592,0.00090,-0.00002
NVDA250207C00114000,NVDA,2025-02-07,114.00,call,15.85,15.60,15.15,87,16.05,75,744,4752,2025-02-07,0.97902,1.00000,0.00000,-0.01352,0.00000,0.00312
NVDA250207P00114000,NVDA,2025-02-07,114.00,put,0.01,0.01,0.00,0,0.01,745,2402,9986,2025-02-07,0.96889,-0.00476,0.00210,-0.04545,0.00094,-0.00002
NVDA250207C00115000,NVDA,2025-02-07,115.00,call,14.88,14.90,14.80,312,15.00,21,1677,23505,2025-02-07,1.10761,0.98319,0.00555,-0.17056,0.00284,0.00309
NVDA250207P00115000,NVDA,2025-02-07,115.00,put,0.01,0.01,0.00,0,0.01,1218,3829,45318,2025-02-07,0.91036,-0.00503,0.00235,-0.04493,0.00099,-0.00002
NVDA250207C00116000,NVDA,2025-02-07,116.00,call,14.00,13.90,13.80,20,14.00,68,862,6708,2025-02-07,1.03886,0.98223,0.00620,-0.16804,0.00298,0.00311
NVDA250207P00116000,NVDA,2025-02-07,116.00,put,0.01,0.01,0.00,0,0.01,725,3415,10978,2025-02-07,0.85213,-0.00536,0.00265,-0.04442,0.00104,-0.00002
NVDA250207C00117000,NVDA,2025-02-07,117.00,call,13.05,12.35,11.70,146,13.00,29,1026,7193,2025-02-07,0.79360,1.00000,0.00000,-0.01388,0.00000,0.00321
NVDA250207P00117000,NVDA,2025-02-07,117.00,put,0.01,0.01,0.00,0,0.01,737,2110,17698,2025-02-07,0.79405,-0.00572,0.00302,-0.04388,0.00111,-0.00002
NVDA250207C00118000,NVDA,2025-02-07,118.00,call,11.90,11.35,10.70,144,12.00,47,2061,8035,2025-02-07,0.73179,1.00000,0.00000,-0.01400,0.00000,0.00323
NVDA250207P00118000,NVDA,2025-02-07,118.00,put,0.01,0.01,0.00,0,0.01,68,6708,15980,2025-02-07,0.73597,-0.00613,0.00347,-0.04325,0.00118,-0.00002
NVDA250207C00119000,NVDA,2025-02-07,119.00,call,10.89,10.77,10.60,15,10.95,63,2252,7145,2025-02-07,0.66999,1.00000,0.00000,-0.01412,0.00000,0.00326
NVDA250207P00119000,NVDA,2025-02-07,119.00,put,0.01,0.01,0.00,0,0.01,63,7969,12189,2025-02-07,0.67805,-0.00662,0.00402,-0.04261,0.00126,-0.00002
NVDA250207C00120000,NVDA,2025-02-07,120.00,call,9.85,9.77,9.60,5,9.95,69,13552,22957,2025-02-07,0.60818,1.00000,0.00000,-0.01423,0.00000,0.00329
NVDA250207P00120000,NVDA,2025-02-07,120.00,put,0.03,0.01,0.00,0,0.01,104,17211,41617,2025-02-07,0.61997,-0.00717,0.00473,-0.04183,0.00135,-0.00003
NVDA250207C00121000,NVDA,2025-02-07,121.00,call,8.97,8.90,8.85,7,8.95,30,10295,16650,2025-02-07,0.69619,0.97480,0.01244,-0.15316,0.00400,0.00322
NVDA250207P00121000,NVDA,2025-02-07,121.00,put,0.01,0.01,0.00,0,0.01,151,7542,22004,2025-02-07,0.56204,-0.00785,0.00565,-0.04107,0.00147,-0.00003
