Date,SMA
2025-01-03,591.8538
2025-01-02,591.0925
2024-12-31,592.8572
2024-12-30,594.7271
2024-12-27,596.1259
2024-12-26,596.8576
2024-12-24,597.2683
2024-12-23,597.2186
2024-12-20,598.0172
2024-12-19,599.4817
2024-12-18,601.5309
2024-12-17,603.6619
2024-12-16,603.6240
2024-12-13,603.3090
2024-12-12,603.1436
2024-12-11,602.5954
2024-12-10,601.9167
2024-12-09,601.3914
2024-12-06,600.4774
2024-12-05,599.0681
2024-12-04,597.4575
2024-12-03,595.7272
2024-12-02,594.1565
2024-11-29,592.3744
2024-11-27,591.4574
2024-11-26,591.2940
2024-11-25,590.9202
2024-11-22,591.0428
2024-11-21,591.3099
2024-11-20,591.5033
2024-11-19,591.5571
2024-11-18,590.2016
2024-11-15,588.3737
2024-11-14,586.9076
2024-11-13,584.4447
2024-11-12,582.7324
2024-11-11,581.2245
2024-11-08,579.4374
2024-11-07,577.5287
2024-11-06,575.8972
2024-11-05,574.5965
2024-11-04,575.2563
2024-11-01,576.6337
2024-10-31,577.9842
2024-10-30,579.3507
2024-10-29,579.5789
2024-10-28,579.3806
2024-10-25,579.7284
2024-10-24,579.7822
2024-10-23,579.4723
2024-10-22,579.3876
2024-10-21,578.3759
2024-10-18,576.7982
2024-10-17,575.6410
2024-10-16,574.1928
2024-10-15,572.8533
2024-10-14,571.7410
2024-10-11,570.6885
2024-10-10,569.8802
2024-10-09,569.4984
2024-10-08,568.7908
2024-10-07,568.6044
2024-10-04,568.7908
2024-10-03,568.3194
2024-10-02,568.4600
2024-10-01,567.5452
2024-09-30,566.8201
2024-09-27,565.5600
2024-09-26,564.4456
2024-09-25,562.9583
2024-09-24,561.2323
2024-09-23,558.8212
2024-09-20,556.3361
2024-09-19,553.3915
2024-09-18,551.2681
2024-09-17,550.2297
2024-09-16,549.1377
2024-09-13,549.2212
2024-09-12,548.8575
2024-09-11,548.7790
2024-09-10,549.4885
2024-09-09,550.6808
2024-09-06,552.2428
2024-09-05,553.8187
2024-09-04,554.9127
2024-09-03,555.6828
2024-08-30,556.4310
2024-08-29,555.4999
2024-08-28,554.9753
2024-08-27,553.5296
2024-08-26,551.5900
2024-08-23,548.8555
2024-08-22,545.9601
2024-08-21,543.4193
2024-08-20,539.2501
2024-08-19,535.6183
2024-08-16,531.4222
2024-08-15,529.2948
2024-08-14,528.2952
2024-08-13,528.9968
2024-08-12,528.9928
2024-08-09,530.1345
2024-08-08,531.2722
2024-08-07,532.0432
2024-08-06,534.2859
2024-08-05,537.4287
2024-08-02,541.1320
2024-08-01,542.7308
2024-07-31,543.6896
2024-07-30,544.2987
2024-07-29,546.5702
2024-07-26,548.2365
2024-07-25,549.7816
2024-07-24,551.5771
2024-07-23,553.5733
2024-07-22,553.7760
2024-07-19,553.8386
2024-07-18,554.4000
2024-07-17,554.2808
2024-07-16,553.4928
2024-07-15,551.5532
2024-07-12,549.8333
2024-07-11,548.4799
2024-07-10,547.3899
2024-07-09,545.7514
2024-07-08,544.4517
2024-07-05,543.3816
2024-07-03,542.4474
2024-07-02,541.9768
2024-07-01,541.6120
2024-06-28,541.1840
2024-06-27,540.8345
2024-06-26,540.1635
2024-06-25,539.1412
2024-06-24,538.0586
2024-06-21,537.0203
2024-06-20,535.8705
2024-06-18,534.6493
2024-06-17,532.6585
2024-06-14,530.7470
2024-06-13,529.2207
2024-06-12,527.2557
2024-06-11,525.7443
2024-06-10,525.0371
2024-06-07,524.4211
2024-06-06,523.6238
2024-06-05,523.1454
2024-06-04,522.8176
2024-06-03,522.9830
2024-05-31,523.1464
2024-05-30,523.2771
2024-05-29,523.9873
2024-05-28,523.7100
2024-05-24,522.8285
2024-05-23,521.9767
2024-05-22,521.4032
2024-05-21,520.1513
2024-05-20,518.7429
2024-05-17,517.4068
2024-05-16,515.6082
2024-05-15,513.2648
2024-05-14,510.3500
2024-05-13,508.2384
2024-05-10,507.1638
2024-05-09,505.9178
2024-05-08,504.2657
2024-05-07,503.0990
2024-05-06,501.9610
2024-05-03,500.2921
2024-05-02,498.6946
2024-05-01,498.1488
2024-04-30,498.1686
2024-04-29,498.3222
2024-04-26,497.7665
2024-04-25,498.0230
2024-04-24,499.4602
2024-04-23,500.3228
2024-04-22,501.6768
2024-04-19,503.5586
2024-04-18,505.8633
2024-04-17,507.2054
2024-04-16,509.0733
2024-04-15,510.5897
2024-04-12,512.3437
2024-04-11,513.5540
2024-04-10,514.0661
2024-04-09,514.5306
2024-04-08,514.5752
2024-04-05,514.8218
2024-04-04,515.1952
2024-04-03,515.9291
2024-04-02,515.5626
2024-04-01,514.9704
2024-03-28,513.7492
2024-03-27,512.7859
2024-03-26,511.9134
2024-03-25,511.5527
2024-03-22,510.5539
2024-03-21,509.4559
2024-03-20,508.5650
2024-03-19,507.3448
2024-03-18,506.3433
2024-03-15,506.1296
2024-03-14,506.2703
2024-03-13,505.5920
2024-03-12,504.6333
2024-03-11,503.6607
2024-03-08,503.1384
2024-03-07,502.7563
2024-03-06,502.0346
2024-03-05,500.7964
2024-03-04,499.7676
2024-03-01,498.5048
2024-02-29,497.4345
2024-02-28,496.4956
2024-02-27,495.2930
2024-02-26,494.7055
2024-02-23,494.2326
2024-02-22,493.2916
2024-02-21,492.3635
2024-02-20,492.0446
2024-02-16,491.6289
2024-02-15,491.1195
2024-02-14,489.8547
2024-02-13,488.3055
2024-02-12,487.9906
2024-02-09,487.0319
2024-02-08,485.6703
2024-02-07,484.6543
2024-02-06,483.3994
2024-02-05,482.4990
2024-02-02,481.6005
2024-02-01,480.4236
2024-01-31,479.1686
2024-01-30,478.1230
2024-01-29,476.5472
2024-01-26,475.1067
2024-01-25,474.0147
2024-01-24,472.8822
2024-01-23,471.7458
2024-01-22,470.7328
2024-01-19,469.1994
2024-01-18,467.7036
2024-01-17,466.9433
2024-01-16,466.9789
2024-01-12,467.0164
2024-01-11,467.0174
2024-01-10,467.0332
2024-01-09,466.9433
2024-01-08,466.9206
2024-01-05,466.7330
2024-01-04,466.7666
2024-01-03,467.5130
2024-01-02,467.8270
2023-12-29,467.4992
2023-12-28,466.9849
2023-12-27,466.1858
2023-12-26,464.7752
2023-12-22,463.2420
2023-12-21,461.7302
2023-12-20,460.1185
2023-12-19,458.6040
2023-12-18,456.6207
2023-12-15,454.9296
2023-12-14,453.7362
2023-12-13,452.2012
2023-12-12,450.6387
