Date,Open,High,Low,Close,Volume,RSI,SMA10,SMA20,SMA50,SMA200
1999-11-19,142.4062,142.9687,142.0,142.5,4832100,79.5996,,,,
1999-11-22,142.4375,143.0,141.5,142.4687,4155400,79.3713,,,,
1999-11-23,142.8437,142.8437,140.375,141.2187,5918000,70.6558,,,,
1999-11-24,140.75,142.4375,140.0,141.9687,4459700,72.5999,,,,
1999-11-26,142.4687,142.875,141.25,141.4375,1693900,69.1077,,,,
1999-11-29,140.875,141.9218,140.4375,140.9375,7348600,65.8946,,,,
1999-11-30,140.75,142.3125,139.0,139.2812,7682000,56.5202,,,,
1999-12-01,139.3125,140.5,139.0,140.4062,6980200,60.6184,,,,
1999-12-02,140.625,141.375,140.375,141.25,6698300,63.4045,,,,
1999-12-03,143.0312,145.3437,143.0312,143.8437,10045400,70.3486,141.53122000000002,,,
1999-12-06,143.5312,143.7187,142.25,142.7812,3138900,64.9145,141.55934000000002,,,
1999-12-07,143.2812,143.3125,141.375,141.625,10714200,59.5261,141.47497000000004,,,
1999-12-08,141.3437,142.0625,140.5,140.7187,4611400,55.6281,141.42497,,,
1999-12-09,141.8125,142.2187,139.375,141.4062,6474700,57.8813,141.36872,,,
1999-12-10,142.2812,142.8125,140.875,141.875,5127300,59.3954,141.41246999999998,,,
1999-12-13,141.4375,142.7187,141.2812,142.125,4210800,60.2167,141.53122,,,
1999-12-14,141.625,142.4843,140.625,140.75,5739000,53.774,141.6781,,,
1999-12-15,140.375,142.2031,140.0312,141.5,6879100,56.5075,141.78748000000002,,,
1999-12-16,142.1875,142.6562,141.1562,142.125,5854900,58.6992,141.87498,,,
1999-12-17,143.0,143.3125,142.0625,142.6875,4775400,61.7238,141.75936000000002,141.64529,,
1999-12-20,142.5625,143.1875,141.0937,141.6562,4608700,56.6485,141.64686,141.60309999999998,,
1999-12-21,141.5937,144.0625,141.3437,143.8125,7981300,63.421,141.86561,141.67029000000002,,
1999-12-22,143.625,144.1875,142.9687,144.1875,5377500,64.4608,142.21249,141.81873000000002,,
1999-12-23,145.0156,146.4843,145.0,146.4843,5721700,70.0723,142.7203,142.04451,,
1999-12-27,146.5,146.7812,145.0625,146.2812,2691000,69.0343,143.16091999999998,142.286695,,
1999-12-28,145.875,146.5,145.4843,146.1875,4084500,68.5299,143.56716999999998,142.549195,,
1999-12-29,146.3125,146.8125,145.3125,146.8125,3001000,70.0992,144.17342,142.92576000000003,,
1999-12-30,147.125,147.5625,146.1875,146.6406,3641300,69.0788,144.68748,143.23748,,
1999-12-31,146.8437,147.5,146.25,146.875,3172700,69.7259,145.16248000000002,143.51873,,
2000-01-03,148.25,148.25,143.875,145.4375,8164300,61.2595,145.43748,143.59841999999998,,
2000-01-04,143.5312,144.0625,139.6406,139.75,8089800,40.372,145.24686,143.44686,,
2000-01-05,139.9375,141.5312,137.25,140.0,12177900,41.3191,144.86561,143.36561,,
2000-01-06,139.625,141.5,137.75,137.75,6227200,35.8066,144.22186,143.217175,,
2000-01-07,140.3125,145.75,140.0625,145.75,8066500,57.5117,144.14843,143.434365,,
2000-01-10,146.25,146.9062,145.0312,146.25,5741700,58.4572,144.14531,143.653115,,
2000-01-11,145.8125,146.0937,143.5,144.5,7503700,53.9336,143.97656,143.771865,,
2000-01-12,144.5937,144.5937,142.875,143.0625,6907700,50.4782,143.60156,143.88749,,
2000-01-13,144.4687,145.75,143.2812,145.0,5158300,54.6917,143.4375,144.06249,,
2000-01-14,146.5312,147.4687,145.9687,146.9687,7437300,58.5507,143.44687000000002,144.304675,,
2000-01-18,145.3437,146.625,145.1875,145.8125,6488500,55.5578,143.48437,144.460925,,
2000-01-19,145.3125,147.0,145.0,147.0,6157900,57.936,144.20937,144.72811499999997,,
2000-01-20,146.9687,146.9687,143.8125,144.75,5800100,52.2327,144.68437,144.77498999999997,,
2000-01-21,145.5,145.5,144.0625,144.4375,6244800,51.4748,145.35312000000002,144.78749,,
2000-01-24,145.6562,145.8437,139.4062,140.3437,7896900,42.7279,144.81249,144.48046000000002,,
2000-01-25,140.5156,141.9375,139.0,141.9375,9942500,46.5368,144.38124,144.263275,,
2000-01-26,141.0,141.5468,140.0937,140.8125,5158100,44.2974,144.01249,143.994525,,
2000-01-27,141.8437,142.2187,138.125,140.25,10922700,43.1785,143.73124,143.6664,,
2000-01-28,139.4375,140.0625,135.5312,135.875,11916200,35.6388,142.81874,143.12812000000002,,
2000-01-31,135.8125,139.6718,135.0,139.5625,10768700,44.4443,142.07811999999998,142.762495,,
2000-02-01,139.75,141.6875,138.5312,140.9375,8419900,47.3376,141.59062,142.537495,142.76060999999999,
2000-02-02,141.2812,142.25,140.375,141.0625,6205900,47.6047,140.99687,142.60312000000002,142.73185999999998,
2000-02-03,140.875,143.25,140.0,143.1875,7997500,52.0572,140.84062,142.762495,142.74623599999998,
2000-02-04,143.1875,144.0,142.125,142.5937,4925400,50.7591,140.65624,143.00468,142.773736,
2000-02-07,142.5625,142.7812,141.4375,142.375,5845800,50.262,140.85937,142.83593000000002,142.781862,
2000-02-08,143.9687,144.5625,143.625,144.3125,4936400,54.5121,141.09687000000002,142.739055,142.839362,
2000-02-09,144.4687,144.4687,141.2656,141.2812,8511500,47.6516,141.14374,142.578115,142.846236,
2000-02-10,141.625,142.5625,140.875,141.5625,6690600,48.3018,141.27499,142.503115,142.891862,
2000-02-11,141.8437,141.9375,138.0312,138.6875,9849800,42.4924,141.55624,142.18749,142.85748800000002,
2000-02-14,139.7812,139.7812,138.3125,139.5,8528800,44.5231,141.54999,141.814055,142.82248800000002,
2000-02-15,139.25,141.2187,137.7968,141.0781,11078300,48.3389,141.56405,141.577335,142.767176,
2000-02-16,140.375,140.9375,138.7968,139.0,8845400,44.0429,141.35780000000003,141.17733500000003,142.691552,
2000-02-17,140.4375,140.4375,138.2187,138.2812,7584200,42.6316,140.86717000000002,140.85389500000002,142.62467600000002,
2000-02-18,138.875,138.875,134.625,135.3125,9409200,37.3135,140.13905,140.397645,142.51655200000002,
2000-02-22,135.1875,136.3437,133.5312,134.9687,16415400,36.7419,139.39842000000002,140.128895,142.387802,
2000-02-23,135.625,137.4687,134.5,136.5625,12119000,41.2362,138.62342,139.860145,142.281552,
2000-02-24,136.6875,137.0312,133.0937,133.8125,17375000,36.4272,137.87655,139.510145,142.11530199999999,
2000-02-25,135.1875,136.7187,133.125,133.3281,10559900,35.6387,137.05311,139.16405,141.966864,
2000-02-28,133.375,136.6875,132.7187,136.125,13397800,43.2732,136.79686,139.17655,141.859364,
2000-02-29,136.0625,137.4375,135.75,137.4375,8242500,46.4815,136.59061000000003,139.0703,141.765614,
2000-03-01,137.625,139.0,137.2187,138.4375,6868000,48.8549,136.32655,138.9453,141.680614,
2000-03-02,138.6875,139.125,137.3437,138.5312,7600200,49.0827,136.27966999999998,138.818735,141.618114,
2000-03-03,140.4375,141.7187,139.7187,141.125,12770300,55.0522,136.56405,138.71561,141.564364,
2000-03-06,140.8125,141.3437,138.75,139.75,11967100,51.5987,137.0078,138.573425,141.475614,
2000-03-07,140.0,140.1562,135.2187,137.0468,20062000,45.5491,137.21561,138.307015,141.286864,
2000-03-08,136.4687,137.8437,135.0312,136.875,11808500,45.1865,137.24686,137.93514,141.09874,
2000-03-09,137.25,140.875,136.125,140.875,5500900,54.307,137.95310999999998,137.91483,140.99249,
2000-03-10,140.1875,142.0,139.5312,140.125,7924600,52.5417,138.6328,137.84295500000002,140.85874,
2000-03-13,136.6875,140.4687,135.6875,138.5937,10540500,49.0368,138.87966999999998,137.838265,140.69780200000002,
2000-03-14,139.2812,140.0937,136.1562,136.625,8263900,44.8908,138.79842,137.694515,140.492802,
2000-03-15,136.875,140.4375,136.0625,139.8125,10300800,51.9713,138.93591999999998,137.631235,140.380302,
2000-03-16,141.625,146.8437,140.875,146.3437,25601400,62.5802,139.71717,137.99841999999998,140.512176,
2000-03-17,145.8125,148.0,145.4375,146.9375,10272900,63.8502,140.29842000000002,138.43123500000002,140.650926,
